transaction_id,date,hour,type,amount,country,old_balance,new_balance,structuring_flag,rapid_movement_flag,round_amount_flag,high_risk_country,is_suspicious,aml_risk_score,alert_level
TXN000070,2024-08-10,15,TRANSFER,63.12,DE,386935.19,386872.07,0,0,0,0,0,1,LOW
TXN000071,2024-04-07,12,CASH_IN,13.74,CN,357318.23,357331.97,0,0,0,0,0,3,LOW
TXN000072,2024-09-28,20,DEBIT,1243.0,US,160183.29,158940.29,0,0,0,0,0,3,LOW
TXN000073,2024-01-19,17,CASH_IN,16219.36,RU,142992.04,159211.4,0,0,0,1,0,35,LOW
TXN000074,2024-08-21,16,CASH_IN,3842.19,NG,496119.62,499961.81,0,0,0,1,0,32,LOW
TXN000075,2024-08-14,19,CASH_OUT,4421.32,UK,463830.03,459408.71,0,0,0,0,0,1,LOW
TXN000076,2024-12-09,19,PAYMENT,4842.46,NG,206613.27,201770.81,0,0,0,1,0,34,LOW
TXN000077,2024-05-24,23,TRANSFER,42857.73,MX,270013.02,227155.29,0,0,0,0,1,37,LOW
TXN000078,2024-12-21,9,TRANSFER,3360.35,US,71265.43,67905.08,0,0,0,0,0,1,LOW
TXN000079,2024-03-15,21,CASH_IN,2865.96,NG,55001.22,57867.18,0,0,0,1,0,35,LOW
TXN000080,2024-05-05,21,CASH_IN,5815.14,US,48931.83,54746.97,0,0,0,0,0,3,LOW
TXN000081,2024-06-08,18,CASH_IN,2727.5,NG,11337.88,14065.38,0,0,0,1,0,32,LOW
TXN000082,2024-02-14,12,DEBIT,3953.98,US,294655.21,290701.23,0,0,0,0,0,4,LOW
TXN000083,2024-02-23,21,PAYMENT,2916.09,UK,135619.53,132703.44,0,0,0,0,0,3,LOW
TXN000084,2024-04-18,16,CASH_OUT,8798.23,NG,244407.56,235609.33,0,0,0,1,0,30,LOW
TXN000085,2024-07-15,15,CASH_OUT,4128.31,DE,443594.74,439466.43,0,0,0,0,0,4,LOW
TXN000086,2024-03-06,21,CASH_OUT,2233.58,US,283942.37,281708.79,0,0,0,0,0,5,LOW
TXN000087,2024-07-30,19,TRANSFER,850.55,UK,412172.92,411322.37,0,0,0,0,0,1,LOW
TXN000088,2024-06-14,21,PAYMENT,4485.18,UK,141987.79,137502.61,0,0,0,0,0,1,LOW
TXN000089,2024-05-17,15,PAYMENT,1396.48,IR,178532.62,177136.14,0,0,0,1,0,35,LOW
TXN000090,2024-02-10,1,CASH_OUT,52325.94,CN,266577.88,214251.94,0,0,0,0,1,61,MEDIUM
TXN000091,2024-11-04,2,TRANSFER,16489.28,RU,495892.82,479403.54,0,0,0,1,1,67,MEDIUM
TXN000092,2024-06-30,14,DEBIT,1100.63,US,399254.6,398153.97,0,0,0,0,0,4,LOW
TXN000093,2024-03-03,8,TRANSFER,261.18,CN,333645.99,333384.81,0,0,0,0,0,1,LOW
TXN000094,2024-08-18,12,PAYMENT,2163.36,US,269984.17,267820.81,0,0,0,0,0,5,LOW
TXN000095,2024-06-05,23,CASH_OUT,84348.39,IR,425181.93,340833.54,0,1,0,1,1,100,HIGH
TXN000096,2024-01-24,14,TRANSFER,5526.49,CN,255774.18,250247.69,0,0,0,0,0,3,LOW
TXN000097,2024-09-29,17,CASH_OUT,11763.83,RU,321308.37,309544.54,0,0,0,1,0,35,LOW
TXN000098,2024-10-11,2,CASH_OUT,16737.08,IR,263476.52,246739.44,0,1,0,1,1,90,HIGH
TXN000099,2024-12-20,7,TRANSFER,256.07,MX,257266.77,257010.7,0,0,0,0,0,5,LOW
TXN000100,2024-06-24,10,PAYMENT,4921.78,MX,445364.66,440442.88,0,0,0,0,0,1,LOW
TXN000101,2024-07-10,13,TRANSFER,1904.13,NG,126899.77,124995.64,0,0,0,1,0,30,LOW
TXN000102,2024-09-15,16,CASH_IN,2066.35,IR,165307.96,167374.31,0,0,0,1,0,33,LOW
TXN000103,2024-12-08,19,PAYMENT,5163.25,DE,432045.61,426882.36,0,0,0,0,0,1,LOW
TXN000104,2024-07-28,1,TRANSFER,118357.91,US,496809.11,378451.2,0,1,0,0,1,85,HIGH
TXN000105,2024-02-13,20,PAYMENT,5689.7,US,490487.7,484798.0,0,0,0,0,0,5,LOW
TXN000106,2024-07-13,9,TRANSFER,956.76,NG,327469.11,326512.35,0,0,0,1,0,30,LOW
TXN000107,2024-11-23,16,PAYMENT,896.11,UK,450140.86,449244.75,0,0,0,0,0,3,LOW
TXN000108,2024-01-16,13,TRANSFER,6940.26,UK,45408.49,38468.23,0,0,0,0,0,4,LOW
TXN000109,2024-07-29,15,TRANSFER,381.02,UK,327714.8,327333.78,0,0,0,0,0,1,LOW
TXN000110,2024-03-19,16,CASH_OUT,3585.18,IR,49664.76,46079.58,0,0,0,1,0,34,LOW
TXN000111,2024-07-27,16,TRANSFER,1747.86,MX,469532.63,467784.77,0,0,0,0,0,2,LOW
TXN000112,2024-10-30,13,CASH_OUT,1126.46,US,498320.8,497194.34,0,0,0,0,0,2,LOW
TXN000113,2024-05-18,7,CASH_IN,7239.58,UK,232366.0,239605.58,0,0,0,0,0,1,LOW
TXN000114,2024-06-18,19,DEBIT,283.23,NG,282971.73,282688.5,0,0,0,1,0,30,LOW
TXN000115,2024-01-05,20,CASH_OUT,890.58,IR,84169.45,83278.87,0,0,0,1,0,31,LOW
TXN000116,2024-08-10,13,CASH_OUT,5635.44,DE,221982.23,216346.79,0,0,0,0,0,5,LOW
TXN000117,2024-11-21,9,TRANSFER,5383.0,NG,317192.88,311809.88,0,0,0,1,0,34,LOW
TXN000118,2024-01-11,17,TRANSFER,3718.07,UK,389031.42,385313.35,0,0,0,0,0,2,LOW
TXN000119,2024-10-04,11,DEBIT,3174.53,CN,348549.18,345374.65,0,0,0,0,0,1,LOW
TXN000120,2024-05-07,13,CASH_IN,2153.07,US,89871.1,92024.17,0,0,0,0,0,4,LOW
TXN000121,2024-03-12,20,CASH_IN,1313.13,US,295156.63,296469.76,0,0,0,0,0,2,LOW
TXN000122,2024-08-03,11,CASH_OUT,570.53,DE,149946.15,149375.62,0,0,0,0,0,0,LOW
TXN000123,2024-05-24,16,CASH_IN,645.58,UK,329345.41,329990.99,0,0,0,0,0,4,LOW
TXN000124,2024-07-10,12,DEBIT,4865.21,US,274270.51,269405.3,0,0,0,0,0,3,LOW
TXN000125,2024-03-08,11,TRANSFER,252.65,MX,420837.27,420584.62,0,0,0,0,0,3,LOW
TXN000126,2024-11-14,13,DEBIT,1275.54,US,417321.13,416045.59,0,0,0,0,0,2,LOW
TXN000127,2024-02-10,14,DEBIT,3141.21,DE,300648.16,297506.95,0,0,0,0,0,0,LOW
TXN000128,2024-01-19,17,CASH_IN,7322.01,IR,192940.17,200262.18,0,0,0,1,0,30,LOW
TXN000129,2024-11-20,17,PAYMENT,531.64,US,426471.12,425939.48,0,0,0,0,0,4,LOW
TXN000130,2024-04-21,16,PAYMENT,2928.42,DE,385767.02,382838.6,0,0,0,0,0,5,LOW
TXN000131,2024-06-11,20,CASH_IN,4598.92,US,410309.06,414907.98,0,0,0,0,0,0,LOW
TXN000132,2024-06-15,17,CASH_IN,709.14,US,421441.67,422150.81,0,0,0,0,0,0,LOW
TXN000133,2024-10-20,18,DEBIT,4389.7,DE,385746.05,381356.35,0,0,0,0,0,5,LOW
TXN000134,2024-12-10,23,CASH_OUT,75492.95,RU,308.1,0.0,0,1,0,1,1,100,HIGH
TXN000135,2024-10-15,21,PAYMENT,1117.86,US,99980.04,98862.18,0,0,0,0,0,4,LOW
TXN000136,2024-03-26,13,CASH_IN,665.68,IR,344913.43,345579.11,0,0,0,1,0,32,LOW
TXN000137,2024-09-16,21,DEBIT,7344.17,UK,133659.61,126315.44,0,0,0,0,0,0,LOW
TXN000138,2024-08-01,8,PAYMENT,2658.15,RU,156154.38,153496.23,0,0,0,1,0,32,LOW
TXN000139,2024-11-22,16,PAYMENT,1154.45,US,333410.69,332256.24,0,0,0,0,0,4,LOW
TXN000140,2024-10-08,19,CASH_OUT,1511.58,DE,463080.85,461569.27,0,0,0,0,0,2,LOW
TXN000141,2024-10-16,2,TRANSFER,6310.38,MX,69894.4,63584.02,0,1,0,0,1,50,MEDIUM
TXN000142,2024-12-02,4,CASH_OUT,30523.57,NG,424470.46,393946.89,0,1,0,1,1,95,HIGH
TXN000143,2024-02-20,7,DEBIT,807.26,US,209405.46,208598.2,0,0,0,0,0,2,LOW
TXN000144,2024-12-03,13,TRANSFER,3549.65,US,479494.9,475945.25,0,0,0,0,0,3,LOW
TXN000145,2024-01-16,12,TRANSFER,3020.22,UK,171955.58,168935.36,0,0,0,0,0,0,LOW
TXN000146,2024-05-03,8,CASH_OUT,729.0,US,198382.73,197653.73,0,0,0,0,0,2,LOW
TXN000147,2024-03-12,12,CASH_IN,11974.34,US,38105.64,50079.98,0,0,0,0,0,1,LOW
TXN000148,2024-10-06,17,CASH_OUT,1011.06,MX,186721.1,185710.04,0,0,0,0,0,2,LOW
TXN000149,2024-03-05,9,CASH_IN,6579.5,US,446099.06,452678.56,0,0,0,0,0,0,LOW
TXN000150,2024-01-15,19,PAYMENT,752.45,US,231844.06,231091.61,0,0,0,0,0,1,LOW
TXN000151,2024-04-08,14,TRANSFER,9226.97,RU,280967.87,271740.9,0,0,0,1,0,32,LOW
TXN000152,2024-11-21,10,PAYMENT,621.34,US,323793.39,323172.05,0,0,0,0,0,2,LOW
TXN000153,2024-06-21,19,TRANSFER,5.48,RU,461357.07,461351.59,0,0,0,1,0,32,LOW
TXN000154,2024-04-03,13,PAYMENT,5504.85,RU,347720.2,342215.35,0,0,0,1,0,32,LOW
TXN000155,2024-08-20,7,DEBIT,2511.71,CN,44121.09,41609.38,0,0,0,0,0,2,LOW
TXN000156,2024-07-20,15,PAYMENT,1802.66,CN,95777.28,93974.62,0,0,0,0,0,0,LOW
TXN000157,2024-08-18,17,DEBIT,1127.38,DE,370374.67,369247.29,0,0,0,0,0,3,LOW
TXN000158,2024-08-02,12,CASH_OUT,8631.57,US,240864.46,232232.89,0,0,0,0,0,4,LOW
TXN000159,2024-11-25,18,PAYMENT,5936.29,IR,137761.74,131825.45,0,0,0,1,0,33,LOW
TXN000160,2024-02-19,10,CASH_OUT,3172.57,CN,293839.57,290667.0,0,0,0,0,0,2,LOW
TXN000161,2024-02-12,7,TRANSFER,728.55,IR,161316.05,160587.5,0,0,0,1,0,35,LOW
TXN000162,2024-02-10,11,PAYMENT,10489.4,US,173247.12,162757.72,0,0,0,0,0,3,LOW
TXN000163,2024-10-22,11,CASH_OUT,5132.06,UK,224190.77,219058.71,0,0,0,0,0,5,LOW
TXN000164,2024-06-19,8,CASH_IN,3613.94,MX,68414.51,72028.45,0,0,0,0,0,3,LOW
TXN000165,2024-10-18,11,CASH_IN,639.33,MX,4900.28,5539.61,0,0,0,0,0,3,LOW
TXN000166,2024-03-19,13,CASH_OUT,2542.02,RU,81207.38,78665.36,0,0,0,1,0,35,LOW
TXN000167,2024-03-11,8,CASH_OUT,250.41,IR,465712.02,465461.61,0,0,0,1,0,34,LOW
TXN000168,2024-07-31,16,TRANSFER,2524.52,DE,224272.31,221747.79,0,0,0,0,0,0,LOW
TXN000169,2024-08-15,16,DEBIT,1982.79,IR,93043.11,91060.32,0,0,0,1,0,31,LOW
TXN000170,2024-01-17,7,CASH_OUT,1534.21,US,231241.49,229707.28,0,0,0,0,0,3,LOW
TXN000171,2024-08-27,4,TRANSFER,43987.97,NG,174821.99,130834.02,0,1,0,1,1,92,HIGH
TXN000172,2024-02-04,10,CASH_IN,5941.61,UK,417571.96,423513.57,0,0,0,0,0,1,LOW
TXN000173,2024-11-23,1,TRANSFER,99855.18,NG,258291.28,158436.1,0,0,0,1,1,94,HIGH
TXN000174,2024-05-16,19,CASH_OUT,540.08,MX,477022.01,476481.93,0,0,0,0,0,2,LOW
TXN000175,2024-06-05,21,CASH_IN,482.41,DE,176328.36,176810.77,0,0,0,0,0,3,LOW
TXN000176,2024-08-30,9,CASH_OUT,7924.85,US,334762.48,326837.63,0,0,0,0,0,4,LOW
TXN000177,2024-01-21,18,DEBIT,3488.61,IR,173717.5,170228.89,0,0,0,1,0,33,LOW
TXN000178,2024-11-06,21,TRANSFER,1154.99,DE,85166.84,84011.85,0,0,0,0,0,4,LOW
TXN000179,2024-08-25,11,CASH_IN,1023.06,US,250042.59,251065.65,0,0,0,0,0,5,LOW
TXN000180,2024-07-12,19,PAYMENT,929.96,MX,136216.49,135286.53,0,0,0,0,0,2,LOW
TXN000181,2024-08-16,21,TRANSFER,3772.65,US,394172.56,390399.91,0,0,0,0,0,0,LOW
TXN000182,2024-01-29,19,TRANSFER,7633.96,UK,146754.55,139120.59,0,0,0,0,0,2,LOW
TXN000183,2024-12-06,16,PAYMENT,1622.9,MX,348462.1,346839.2,0,0,0,0,0,4,LOW
TXN000184,2024-10-09,10,PAYMENT,20273.48,MX,168546.32,148272.84,0,0,0,0,0,5,LOW
TXN000185,2024-11-24,10,CASH_OUT,3789.97,DE,19049.57,15259.6,0,0,0,0,0,5,LOW
TXN000186,2024-10-21,10,PAYMENT,536.59,UK,146603.35,146066.76,0,0,0,0,0,1,LOW
TXN000187,2024-02-25,15,PAYMENT,3310.52,DE,227061.27,223750.75,0,0,0,0,0,4,LOW
TXN000188,2024-06-04,14,CASH_IN,580.96,RU,227703.06,228284.02,0,0,0,1,0,32,LOW
TXN000189,2024-12-22,18,DEBIT,392.68,RU,84891.62,84498.94,0,0,0,1,0,35,LOW
TXN000190,2024-02-17,11,DEBIT,9947.06,NG,391822.06,381875.0,0,0,0,1,0,33,LOW
TXN000191,2024-08-02,2,TRANSFER,69145.79,DE,316389.93,247244.14,0,0,0,0,1,65,MEDIUM
TXN000192,2024-04-14,21,PAYMENT,12240.86,US,415837.61,403596.75,0,0,0,0,0,5,LOW
TXN000193,2024-07-12,8,CASH_OUT,2593.78,CN,403638.24,401044.46,0,0,0,0,0,2,LOW
TXN000194,2024-05-10,9,PAYMENT,588.81,IR,20975.23,20386.42,0,0,0,1,0,35,LOW
TXN000195,2024-02-11,3,TRANSFER,70639.56,UK,214506.78,143867.22,0,0,0,0,1,65,MEDIUM
TXN000196,2024-03-06,18,DEBIT,2969.17,NG,162511.36,159542.19,0,0,0,1,0,33,LOW
TXN000197,2024-10-29,21,PAYMENT,6743.76,US,378081.42,371337.66,0,0,0,0,0,0,LOW
TXN000198,2024-11-12,10,CASH_IN,4336.81,MX,77894.33,82231.14,0,0,0,0,0,0,LOW
TXN000199,2024-03-30,7,DEBIT,2698.83,US,291607.84,288909.01,0,0,0,0,0,0,LOW
TXN000200,2024-10-22,12,TRANSFER,35.07,US,206083.74,206048.67,0,0,0,0,0,4,LOW
TXN000201,2024-09-24,15,CASH_IN,4567.94,IR,197153.04,201720.98,0,0,0,1,0,34,LOW
TXN000202,2024-02-28,13,PAYMENT,2215.64,UK,300059.91,297844.27,0,0,0,0,0,3,LOW
TXN000203,2024-08-31,19,CASH_IN,578.78,US,251369.14,251947.92,0,0,0,0,0,0,LOW
TXN000204,2024-07-26,7,CASH_OUT,1957.96,NG,358571.67,356613.71,0,0,0,1,0,32,LOW
TXN000205,2024-08-27,16,TRANSFER,904.03,UK,384306.39,383402.36,0,0,0,0,0,0,LOW
TXN000206,2024-12-25,16,CASH_OUT,1082.02,NG,389571.28,388489.26,0,0,0,1,0,31,LOW
TXN000207,2024-02-11,8,PAYMENT,459.38,UK,204310.54,203851.16,0,0,0,0,0,4,LOW
TXN000208,2024-08-05,12,TRANSFER,3711.13,IR,249987.61,246276.48,0,0,0,1,0,30,LOW
TXN000209,2024-11-28,18,PAYMENT,2080.27,UK,419231.61,417151.34,0,0,0,0,0,1,LOW
TXN000210,2024-12-06,11,DEBIT,3050.75,MX,171537.76,168487.01,0,0,0,0,0,3,LOW
TXN000211,2024-08-06,4,CASH_OUT,833.68,NG,436864.71,436031.03,0,0,0,1,1,54,MEDIUM
TXN000212,2024-06-26,13,CASH_OUT,9757.53,RU,29726.66,19969.13,0,0,0,1,0,33,LOW
TXN000213,2024-10-19,13,TRANSFER,6373.05,UK,195211.37,188838.32,0,0,0,0,0,4,LOW
TXN000214,2024-02-29,19,PAYMENT,2967.01,UK,50720.87,47753.86,0,0,0,0,0,2,LOW
TXN000215,2024-04-17,17,TRANSFER,4443.47,US,189776.06,185332.59,0,0,0,0,0,0,LOW
TXN000216,2024-05-13,23,TRANSFER,66358.24,NG,72287.5,5929.26,0,1,0,1,1,100,HIGH
TXN000217,2024-04-12,18,CASH_OUT,168.37,MX,117507.2,117338.83,0,0,0,0,0,1,LOW
TXN000218,2024-01-23,9,CASH_OUT,4680.38,IR,207898.44,203218.06,0,0,0,1,0,30,LOW
TXN000219,2024-04-17,10,CASH_IN,6884.89,DE,413928.12,420813.01,0,0,0,0,0,0,LOW
TXN000220,2024-06-19,7,CASH_OUT,8904.41,CN,226596.7,217692.29,0,0,0,0,0,1,LOW
TXN000221,2024-10-25,10,PAYMENT,12572.58,CN,216486.93,203914.35,0,0,0,0,0,3,LOW
TXN000222,2024-05-10,19,DEBIT,144.73,DE,426864.92,426720.19,0,0,0,0,0,3,LOW
TXN000223,2024-02-04,21,TRANSFER,3795.04,DE,324215.66,320420.62,0,0,0,0,0,3,LOW
TXN000224,2024-04-27,8,PAYMENT,1353.84,US,480959.36,479605.52,0,0,0,0,0,4,LOW
TXN000225,2024-09-16,14,CASH_OUT,11399.14,RU,186962.26,175563.12,0,0,0,1,0,35,LOW
TXN000226,2024-10-30,19,PAYMENT,2549.06,DE,498545.94,495996.88,0,0,0,0,0,3,LOW
TXN000227,2024-02-01,8,TRANSFER,3810.62,US,356693.47,352882.85,0,0,0,0,0,5,LOW
TXN000228,2024-07-21,21,CASH_IN,2156.28,US,208156.59,210312.87,0,0,0,0,0,2,LOW
TXN000229,2024-01-22,7,TRANSFER,251.72,US,150955.44,150703.72,0,0,0,0,0,4,LOW
TXN000230,2024-07-26,15,PAYMENT,11811.33,UK,297472.83,285661.5,0,0,0,0,0,1,LOW
TXN000231,2024-09-19,17,CASH_OUT,136.33,MX,328997.26,328860.93,0,0,0,0,0,1,LOW
TXN000232,2024-07-27,20,PAYMENT,356.41,RU,180988.56,180632.15,0,0,0,1,0,34,LOW
TXN000233,2024-09-14,9,TRANSFER,651.13,US,110634.64,109983.51,0,0,0,0,0,1,LOW
TXN000234,2024-01-07,7,PAYMENT,1015.29,US,335849.4,334834.11,0,0,0,0,0,0,LOW
TXN000235,2024-06-25,16,TRANSFER,3415.57,DE,327217.47,323801.9,0,0,0,0,0,1,LOW
TXN000236,2024-09-23,18,PAYMENT,312.85,US,316820.13,316507.28,0,0,0,0,0,2,LOW
TXN000237,2024-12-07,21,DEBIT,772.69,US,343611.64,342838.95,0,0,0,0,0,4,LOW
TXN000238,2024-02-19,18,TRANSFER,50.7,CN,58344.67,58293.97,0,0,0,0,0,1,LOW
TXN000239,2024-05-20,16,DEBIT,582.9,US,396213.21,395630.31,0,0,0,0,0,3,LOW
TXN000240,2024-04-13,10,DEBIT,8111.44,UK,185992.46,177881.02,0,0,0,0,0,1,LOW
TXN000241,2024-07-12,19,TRANSFER,221.1,DE,224621.33,224400.23,0,0,0,0,0,0,LOW
TXN000242,2024-07-22,14,DEBIT,5111.47,US,333073.07,327961.6,0,0,0,0,0,5,LOW
TXN000243,2024-10-11,18,PAYMENT,12224.82,DE,330969.47,318744.65,0,0,0,0,0,3,LOW
TXN000244,2024-04-09,20,CASH_IN,4330.2,DE,194462.64,198792.84,0,0,0,0,0,0,LOW
TXN000245,2024-12-08,19,DEBIT,87.96,IR,174801.38,174713.42,0,0,0,1,0,30,LOW
TXN000246,2024-06-21,20,TRANSFER,1317.96,UK,361261.44,359943.48,0,0,0,0,0,4,LOW
TXN000247,2024-02-08,17,PAYMENT,232.27,MX,319426.38,319194.11,0,0,0,0,0,2,LOW
